schema	1
status	complete
slurm_job_id	51326535
host	dgpu609-14
projection_source_sha256	12954e6072d29cb76e7a227675cfdb8258f07adcb4d10d317fcdfc80ece0d35a
projection_class_sha256	05eeae71d0f6f362bff19fa633f478e62e70c2c1076155d6d5aa44928d8918db
owlapi_elk_jar_sha256	7ffc442f2966667a488479a748502276136445c8e44ffd9e8498873a401cb3d4
product-control-el_sha256	bccd78db0f207baae0f34d08c9de023a1685bd353760fb4bca41143e3ea0ff4e
product-control-el_receipt_sha256	65a1775306e738144cecb161b70d7a4b58aea8025ac0ca5c00487d7fdfb4a8ee
product-conflict-el_sha256	b8fce4ce401da33968ba1265a6eb440c40548e98a8e0e01dd9014be21edba4cd
product-conflict-el_receipt_sha256	a96c2ea35224b398b13b97462b0483a1783a387d588f1f2355982388b1f29fb9
galen-ore9724-el_sha256	e4a1ef350907432a7af8b857c784f4a53ec7e7bbcfaad961dd4114baf1fc9a71
galen-ore9724-el_receipt_sha256	90e0fce8091898c7405ed36b6fab09e0bee48ef2b92714aa575747bc976c7f21
terminal_marker	PREPARATION_COMPLETE
